id,full_name,email,signup_date,country,plan,annual_revenue_usd
91002ab5-cbc2-47e9-a832-1b3fdc1d1a5b,Mario Morrison,vadams@example.net,18/05/2024,LV,enterprise,2846.19
dec999e0-595a-4745-be43-d0cadeaf0b61,Francis Wright,frodriguez@example.com,04/07/2024,BD,enterprise,8524.94
7a12121f-60e5-4ce7-a5dc-2bd577eec858,Cynthia Guerra,jessica88@example.org,13/09/2024,DO,pro,23879.68
975d2726-261e-4a40-899a-f944f1f8743a,Beth Stewart,samanthagonzalez@example.net,29/08/2024,CM,enterprise,45683.85
f43d8402-5462-45cf-9752-587925714525,George Barnes,sshah@example.org,04/09/2024,AU,pro,34499.0
8e6610d7-86d5-42aa-8e6e-ad75c0f27302,Corey Clark,chelsea91@example.com,11/08/2024,CV,,31316.57
ef4adfef-f000-4569-8e83-d514b761dd3b,Rodney Harvey,carrollbridget@example.org,20/05/2024,NZ,,36162.49
afd26f27-fc44-4e11-9d05-60f50df95258,Kathleen Hoffman,scott90@example.com,23/04/2024,RO,free,22888.9
59fe3c05-0b43-40bf-92ab-08eaf8820ce2,Michael Gray Jr.,evanstroy@example.com,08/03/2026,WS,pro,9180.43
e26b011c-ee6d-492a-9189-44b1545c30f0,Kenneth Blackburn,halleduardo@example.net,30/04/2025,PW,pro,2371.54
c450d82a-9aa1-418a-8100-602752df0ab4,Amanda Kelly,charlesjohn@example.net,30/09/2024,PG,enterprise,8021.82
a0891f75-e7ed-41e4-a16c-ae547fe0f5b4,Rachel Campos,milleryvette@example.net,03/01/2026,ME,free,45337.69
5bd4815f-a10a-46ff-bdc1-364dfc27435a,Dillon Frye,kimberlybarnes@example.com,02/01/2025,TD,,12057.94
f8368157-703d-4c46-b27b-fddb10303986,Jack Diaz,stephanie77@example.net,19/09/2025,SR,pro,17831.49
9b9c49a6-797f-4b32-9a10-0f8ad3bf1509,Brandi Blake,cody09@example.org,21/03/2026,UZ,pro,22453.48
1b7e5e28-ddab-47cc-8f6a-72058cde8200,Christopher Butler,victor18@example.net,12/06/2025,SE,,19721.71
fee8b478-4a36-434b-9ba6-4d5fd06ff5e8,Shari Pratt,matthew61@example.com,13/05/2025,LB,,15551.99
936bbb45-2f3e-40a9-92d1-a0ec567227ed,Christopher Jennings,stacyvaldez@example.org,22/09/2025,BD,pro,2220.31
236e17b0-d232-4e12-bf9f-bef39a0c8e13,Linda Rodriguez,gramirez@example.net,18/03/2026,TN,enterprise,28134.29
4101215f-48da-4e58-b428-85b7b67fe3e5,Antonio Wong,mcphersonmichele@example.com,05/08/2025,PE,,38658.88
50237f76-336d-491e-bbd1-789f8633d979,Miguel Wright,autumn94@example.net,30/06/2024,KH,,3256.69
9b626e79-aee1-4ab9-85f1-295d08ba6d73,Sarah Harris,lewisannette@example.com,07/06/2024,FR,free,22837.55
e1a584ab-b24a-4231-b862-1287161d0300,Jesus Sanchez,snelson@example.com,21/10/2024,PY,,35706.68
fac2b148-bd4d-4e4f-9646-b9176ccd8526,Lawrence Peterson,samanthablackwell@example.com,16/10/2024,FR,,39848.57
0a27df3a-874c-4f12-b478-1493f2c27630,Jesse Woodard,stephenacosta@example.org,11/07/2025,CF,,42003.0
3ec3dfb1-22d8-4f57-8bda-9618c642383f,Lisa Carr,jacksonmark@example.org,03/11/2025,CF,free,29667.52
079da61a-fe4a-4e46-a45f-d478d19cb834,Brandon Howell,leejoseph@example.com,11/10/2024,MW,enterprise,8764.98
f8cff061-d2ef-4bfb-82ab-53af31fe05be,Jackson Houston,patricia06@example.com,15/12/2025,SN,free,6400.18
c21dbcd5-9307-4a30-9bde-0a177d0bcb27,Lindsey Willis,cannonbrittany@example.net,24/10/2025,NZ,free,38267.46
7cc76f35-8289-49b2-a28c-ed5876e8319c,Jeffrey Brock,khernandez@example.com,14/08/2025,PS,enterprise,32333.25
16bd544e-e03c-4d5e-9f0d-00ed1327847c,Dr. Joshua Huerta,pittsandrew@example.org,24/08/2024,HU,free,34085.07
21e778bc-5d05-413e-ba34-6e1c8c69d525,Karen Frederick,ymcbride@example.net,31/12/2025,HN,,39019.88
def2ecb6-2c73-4824-b71e-3ade1ba55b86,Omar Kirby,shelleymartinez@example.com,28/03/2025,BY,free,29398.75
279bf6a9-2d72-486e-8217-90678d14dd79,Ralph Allen,kgregory@example.net,23/10/2025,SV,,37425.01
5ac202ad-d0df-4d81-a7a2-e0c1b2c9bf86,Chase Smith,jason28@example.net,15/04/2025,MA,enterprise,31791.14
c5140756-2976-432a-8b15-2c8390df11e2,Laura Moon,lisaerickson@example.org,20/09/2025,MX,,30865.81
c531237d-ff4a-4ffa-8011-302d318e908e,Roberta Silva,fletcherscott@example.com,11/10/2024,BF,free,8904.6
8d471f33-1319-48d6-8054-5abaebb2abef,Alexandra Garcia,blackryan@example.com,10/01/2025,MR,pro,7752.85
d8ff53d2-dc1a-4ba3-b7e6-3ad2af14ccb9,Christy Smith,lisacastillo@example.com,16/02/2025,IL,enterprise,30572.94
cd0de06c-084f-4454-b40b-a87d83bc875f,Dominique Cooper,twaters@example.net,08/03/2025,BN,enterprise,35219.01
b6bd13e4-be15-4db6-96b8-7a81b83367e3,Kimberly Valenzuela,millsjulie@example.org,19/12/2025,MA,,1209.25
56f60e8e-0d1c-46fe-a977-895f121287bc,Anthony Wong,baileymcgrath@example.net,20/09/2025,BA,free,2053.59
7165a661-2211-47b5-9d2e-79eb72de7c65,Charles Williams,rlee@example.com,27/05/2024,LI,enterprise,3021.4
488cb7f0-e3ff-4cd5-845b-6e64655f98a3,Molly Vaughn,valentinepatrick@example.net,12/09/2025,LY,free,15131.66
e8b268db-ffbf-43e5-b84f-c786c3ce60c2,Philip Gutierrez,kyle87@example.net,14/02/2025,DK,,2774.87
d9b4efa8-3e6f-4c7c-8eb1-6160dcb199b9,Barbara Vasquez,christopher39@example.net,02/09/2025,QA,pro,32892.97
cfdf3615-7498-462b-9b17-a1f4aecc949a,Stephanie Garrett,lbailey@example.org,16/03/2025,PS,free,47322.09
dfd3d315-50b2-4cb5-9f68-298c510b0aa5,Vincent Pena,rguzman@example.net,25/01/2026,KN,pro,47084.68
2ba6fff3-d010-4db4-99a6-7011aec86084,Catherine Cline,ikramer@example.net,16/02/2025,SN,enterprise,45605.97
